age_group,gender,insurance_type,patient_count,avg_length_of_stay,avg_cost,readmission_rate
50-59,F,Medicaid,266,3.3,3693,0.236
50-59,F,Medicare,179,6.7,3545,0.105
50-59,F,Medicare,136,6.9,8130,0.129
50-59,F,Medicare,108,6.0,4005,0.201
50-59,F,Medicare,174,5.0,11162,0.215
50-59,F,Molina Healthcare,153,4.0,4954,0.186
50-59,F,Molina Healthcare,126,3.0,10038,0.142
50-59,F,Molina Healthcare,131,6.6,8491,0.241
50-59,F,Molina Healthcare,215,2.9,5719,0.1
50-59,F,Molina Healthcare,116,7.0,7260,0.188
50-59,F,Tricare,274,6.4,7860,0.189
50-59,F,Tricare,69,2.5,7384,0.178
50-59,F,Tricare,83,5.2,3537,0.148
50-59,F,Tricare,174,5.3,5635,0.135
50-59,F,Tricare,86,2.6,10297,0.247
50-59,F,UnitedHealthcare,199,5.7,8064,0.216
50-59,F,UnitedHealthcare,285,4.0,7944,0.161
50-59,F,UnitedHealthcare,79,2.4,9557,0.138
50-59,M,Aetna,225,4.4,5556,0.133
50-59,M,Aetna,202,6.8,8743,0.141
50-59,M,Aetna,188,2.6,9272,0.103
50-59,M,Anthem,60,5.0,4494,0.13
50-59,M,Anthem,239,3.4,11493,0.127
50-59,M,Anthem,124,7.6,9681,0.115
50-59,M,Anthem,177,5.7,5960,0.172
50-59,M,Anthem,69,3.6,4738,0.195
50-59,M,Blue Cross Blue Shield,194,3.1,7924,0.112
50-59,M,Blue Cross Blue Shield,136,6.2,5279,0.247
50-59,M,Blue Cross Blue Shield,248,6.8,8154,0.148
50-59,M,Blue Cross Blue Shield,110,3.8,3578,0.133
50-59,M,Cigna,165,4.2,11106,0.204
50-59,M,Cigna,125,2.9,6268,0.122
50-59,M,Cigna,165,4.2,9987,0.165
50-59,M,Cigna,71,6.1,8627,0.147
50-59,M,Cigna,202,6.0,7056,0.115
50-59,M,Cigna,267,5.5,4370,0.188
50-59,M,Cigna,150,5.4,7578,0.171
50-59,M,Health Net,147,2.4,8453,0.2
50-59,M,Health Net,232,5.8,3258,0.126
50-59,M,Health Net,102,5.2,5765,0.167
50-59,M,Health Net,83,6.6,6478,0.174
50-59,M,Health Net,175,3.4,10159,0.111
50-59,M,Health Net,257,6.5,9701,0.227
50-59,M,Health Net,72,6.4,10725,0.113
50-59,M,Humana,145,4.8,7774,0.121
50-59,M,Humana,257,2.8,8522,0.19
50-59,M,Humana,253,2.9,7756,0.236
50-59,M,Humana,187,7.7,4281,0.177
50-59,M,Humana,244,3.4,8874,0.196
50-59,M,Humana,232,5.8,8747,0.131
50-59,M,Kaiser Permanente,263,3.6,9190,0.187
50-59,M,Kaiser Permanente,110,4.2,5677,0.231
50-59,M,Kaiser Permanente,232,3.4,5413,0.177
50-59,M,Medicaid,181,5.5,7360,0.149
50-59,M,Medicaid,211,6.4,8495,0.198
50-59,M,Medicaid,244,2.8,7120,0.2
50-59,M,Medicaid,92,4.0,6942,0.226
50-59,M,Medicaid,193,4.5,5756,0.169
50-59,M,Medicaid,116,4.9,10279,0.197
50-59,M,Medicare,78,7.5,10085,0.175
50-59,M,Medicare,207,3.3,5317,0.241
50-59,M,Medicare,242,7.5,3360,0.239
50-59,M,Medicare,175,4.3,10904,0.144
50-59,M,Medicare,271,2.6,10498,0.155
50-59,M,Medicare,188,4.2,4355,0.244
50-59,M,Molina Healthcare,89,6.2,3813,0.113
50-59,M,Molina Healthcare,239,4.4,7464,0.161
50-59,M,Tricare,175,4.6,3631,0.115
50-59,M,Tricare,85,4.3,6011,0.134
50-59,M,Tricare,229,4.2,4583,0.199
50-59,M,Tricare,168,4.1,11502,0.213
50-59,M,Tricare,221,2.9,7257,0.23
50-59,M,Tricare,285,5.4,3667,0.152
50-59,M,Tricare,240,3.5,10919,0.135
50-59,M,UnitedHealthcare,109,4.8,11659,0.109
50-59,M,UnitedHealthcare,201,6.7,4734,0.112
50-59,M,UnitedHealthcare,134,7.3,8273,0.109
50-59,M,UnitedHealthcare,278,3.2,3557,0.162
50-59,M,UnitedHealthcare,236,5.0,5173,0.216
50-59,M,UnitedHealthcare,112,7.4,4454,0.205
50-59,M,UnitedHealthcare,270,6.4,9649,0.222
50-59,M,UnitedHealthcare,217,2.6,7194,0.117
60-69,F,Aetna,165,6.9,6697,0.198
60-69,F,Aetna,262,4.9,9679,0.151
60-69,F,Aetna,200,7.4,3396,0.158
60-69,F,Aetna,196,3.3,5908,0.17
60-69,F,Aetna,92,6.2,6478,0.152
60-69,F,Anthem,134,6.7,5255,0.137
60-69,F,Anthem,214,6.4,5576,0.159
60-69,F,Anthem,58,4.1,10982,0.152
60-69,F,Anthem,239,4.6,5379,0.115
60-69,F,Anthem,213,6.3,7242,0.198
60-69,F,Anthem,145,6.1,8307,0.214
60-69,F,Anthem,169,6.3,10847,0.192
60-69,F,Anthem,124,4.7,9549,0.185
60-69,F,Anthem,177,4.1,8689,0.12
60-69,F,Anthem,156,3.7,7626,0.158
60-69,F,Anthem,101,4.3,3638,0.175
60-69,F,Blue Cross Blue Shield,285,7.3,5566,0.189
60-69,F,Blue Cross Blue Shield,215,7.5,8779,0.154
60-69,F,Blue Cross Blue Shield,154,5.9,8427,0.179
60-69,F,Blue Cross Blue Shield,56,3.1,9596,0.131
60-69,F,Blue Cross Blue Shield,95,2.6,4326,0.195
60-69,F,Cigna,116,7.6,8317,0.233
60-69,F,Cigna,231,6.4,6005,0.209
60-69,F,Cigna,66,6.3,10135,0.112
60-69,F,Health Net,277,2.8,6872,0.184
60-69,F,Health Net,79,7.3,4738,0.236
60-69,F,Health Net,181,5.3,7319,0.183
60-69,F,Health Net,216,3.9,4069,0.229
60-69,F,Health Net,174,6.5,3518,0.217
60-69,F,Humana,137,3.6,11476,0.178
60-69,F,Humana,145,2.8,5294,0.19
60-69,F,Humana,113,4.7,7374,0.193
60-69,F,Humana,140,3.8,4280,0.161
60-69,F,Humana,121,3.5,5483,0.175
60-69,F,Humana,120,5.1,11792,0.146
60-69,F,Kaiser Permanente,261,5.1,10393,0.19
60-69,F,Kaiser Permanente,60,5.8,5931,0.12
60-69,F,Kaiser Permanente,211,3.3,5669,0.191
60-69,F,Kaiser Permanente,105,7.2,5314,0.137
60-69,F,Kaiser Permanente,222,7.1,5335,0.102
60-69,F,Kaiser Permanente,223,5.2,4413,0.202
60-69,F,Medicaid,169,6.8,8964,0.236
60-69,F,Medicaid,107,2.2,9566,0.211
60-69,F,Medicaid,235,5.7,5852,0.233
60-69,F,Medicaid,122,5.0,9012,0.1
60-69,F,Medicare,134,5.6,3385,0.122
60-69,F,Medicare,202,4.5,7091,0.241
60-69,F,Medicare,140,3.7,6832,0.158
60-69,F,Medicare,189,5.7,10461,0.217
60-69,F,Medicare,88,5.6,4056,0.171
60-69,F,Medicare,237,7.1,10948,0.224
60-69,F,Molina Healthcare,133,6.5,9473,0.154
60-69,F,Molina Healthcare,177,7.8,11366,0.221
60-69,F,Tricare,107,3.4,4591,0.14
60-69,F,Tricare,125,6.5,8441,0.234
60-69,F,Tricare,249,3.0,7323,0.229
60-69,F,Tricare,108,2.9,11788,0.186
60-69,F,Tricare,58,3.5,9981,0.163
60-69,F,Tricare,197,5.8,4459,0.248
60-69,F,UnitedHealthcare,269,7.2,7837,0.18
60-69,F,UnitedHealthcare,282,7.0,8174,0.245
60-69,F,UnitedHealthcare,108,5.0,10319,0.137
60-69,M,Aetna,116,5.9,3603,0.14
60-69,M,Aetna,165,7.4,7311,0.12
60-69,M,Aetna,181,5.0,3219,0.188
60-69,M,Aetna,106,5.7,10051,0.194
60-69,M,Aetna,225,4.4,4282,0.208
60-69,M,Anthem,106,4.6,10511,0.162
60-69,M,Anthem,148,3.8,4263,0.107
60-69,M,Anthem,170,4.6,7947,0.166
60-69,M,Anthem,266,5.4,8861,0.218
60-69,M,Anthem,282,5.3,7381,0.245
60-69,M,Anthem,259,6.5,11409,0.208
60-69,M,Anthem,150,2.6,5120,0.16
60-69,M,Anthem,71,3.3,9141,0.2
60-69,M,Blue Cross Blue Shield,142,6.9,7552,0.239
60-69,M,Blue Cross Blue Shield,158,3.4,8220,0.112
60-69,M,Blue Cross Blue Shield,202,6.3,5300,0.233
60-69,M,Blue Cross Blue Shield,173,7.2,6659,0.225
60-69,M,Blue Cross Blue Shield,63,5.6,5100,0.161
60-69,M,Blue Cross Blue Shield,171,4.9,4637,0.152
60-69,M,Blue Cross Blue Shield,191,3.8,5492,0.165
60-69,M,Blue Cross Blue Shield,151,2.9,6448,0.115
60-69,M,Cigna,259,5.9,4381,0.224
60-69,M,Health Net,82,3.6,8952,0.187
60-69,M,Health Net,285,3.6,8393,0.245
60-69,M,Health Net,260,3.7,6167,0.248
60-69,M,Humana,265,2.8,6749,0.144
60-69,M,Humana,93,4.1,6509,0.14
60-69,M,Humana,59,2.2,11268,0.176
60-69,M,Humana,273,5.0,10688,0.14
60-69,M,Humana,193,4.7,9753,0.17
60-69,M,Humana,263,7.4,9574,0.226
60-69,M,Humana,181,4.6,4979,0.216
60-69,M,Kaiser Permanente,110,4.4,3815,0.242
60-69,M,Kaiser Permanente,160,4.8,9593,0.196
60-69,M,Kaiser Permanente,242,7.7,10375,0.205
60-69,M,Kaiser Permanente,113,7.7,10673,0.226
60-69,M,Medicaid,142,7.0,9245,0.145
60-69,M,Medicaid,199,5.2,9747,0.107
60-69,M,Medicaid,125,6.7,6631,0.15
60-69,M,Medicaid,218,6.8,11053,0.232
60-69,M,Medicaid,285,6.8,6534,0.12
60-69,M,Medicare,64,4.2,6204,0.229
60-69,M,Medicare,120,5.4,7096,0.138
60-69,M,Medicare,109,2.8,5348,0.192
60-69,M,Medicare,100,3.0,11645,0.21
60-69,M,Molina Healthcare,242,3.7,10009,0.129
60-69,M,Molina Healthcare,234,6.8,9491,0.249
60-69,M,Molina Healthcare,149,4.7,7138,0.16
60-69,M,Molina Healthcare,266,6.3,7083,0.159
60-69,M,Tricare,271,3.4,6528,0.176
60-69,M,Tricare,278,6.4,6371,0.209
60-69,M,Tricare,118,6.3,5626,0.142
60-69,M,UnitedHealthcare,197,3.9,8299,0.174
60-69,M,UnitedHealthcare,123,4.9,5903,0.136
60-69,M,UnitedHealthcare,254,6.7,8682,0.179
60-69,M,UnitedHealthcare,119,4.6,5697,0.226
60-69,M,UnitedHealthcare,246,2.3,11503,0.155
60-69,M,UnitedHealthcare,165,4.3,9874,0.25
70-79,F,Aetna,175,5.3,5499,0.152
70-79,F,Aetna,149,3.5,8540,0.146
70-79,F,Aetna,122,6.1,3513,0.12
70-79,F,Aetna,268,2.8,11531,0.128
70-79,F,Aetna,285,6.7,11437,0.246
70-79,F,Anthem,178,3.2,9097,0.113
70-79,F,Anthem,201,5.6,3433,0.126
70-79,F,Anthem,149,6.4,8529,0.215
70-79,F,Anthem,160,6.9,9361,0.21
70-79,F,Anthem,263,3.3,6708,0.184
70-79,F,Blue Cross Blue Shield,267,5.8,6410,0.22
70-79,F,Blue Cross Blue Shield,187,3.6,6261,0.171
70-79,F,Blue Cross Blue Shield,76,5.0,9719,0.201
70-79,F,Blue Cross Blue Shield,68,2.8,10210,0.216
70-79,F,Blue Cross Blue Shield,259,4.0,7153,0.241
70-79,F,Blue Cross Blue Shield,155,3.4,8102,0.241
70-79,F,Blue Cross Blue Shield,118,5.3,6237,0.124
70-79,F,Cigna,276,5.4,5893,0.174
70-79,F,Cigna,236,2.3,4648,0.132
70-79,F,Cigna,108,2.5,7612,0.229
70-79,F,Health Net,89,4.2,7337,0.215
70-79,F,Health Net,224,6.8,10677,0.112
70-79,F,Health Net,217,3.5,4977,0.199
70-79,F,Health Net,126,4.4,4677,0.129
70-79,F,Health Net,224,5.7,9235,0.185
70-79,F,Health Net,172,4.3,6921,0.176
70-79,F,Humana,229,3.5,6238,0.183
70-79,F,Humana,69,5.8,10045,0.189
70-79,F,Humana,274,3.8,7404,0.116
70-79,F,Humana,178,3.1,10538,0.241
70-79,F,Humana,176,5.4,5359,0.237
70-79,F,Kaiser Permanente,198,6.1,6974,0.136
70-79,F,Kaiser Permanente,177,3.5,5233,0.127
70-79,F,Kaiser Permanente,171,6.4,7724,0.244
70-79,F,Kaiser Permanente,89,3.8,11687,0.17
70-79,F,Kaiser Permanente,203,2.5,8103,0.239
70-79,F,Kaiser Permanente,277,3.4,11086,0.121
70-79,F,Kaiser Permanente,76,2.4,6410,0.19
70-79,F,Kaiser Permanente,242,3.7,3759,0.105
70-79,F,Medicaid,74,6.5,4557,0.212
70-79,F,Medicaid,80,3.3,5969,0.173
70-79,F,Medicaid,207,4.2,7506,0.105
70-79,F,Medicaid,94,5.1,4529,0.207
70-79,F,Medicare,151,7.5,9114,0.183
70-79,F,Medicare,70,3.2,3532,0.15
70-79,F,Medicare,163,5.5,9998,0.112
70-79,F,Medicare,193,7.0,5669,0.191
70-79,F,Medicare,114,7.0,11039,0.184
70-79,F,Molina Healthcare,213,6.7,9755,0.143
70-79,F,Molina Healthcare,242,5.6,4174,0.16
70-79,F,Molina Healthcare,234,7.3,10254,0.205
70-79,F,Molina Healthcare,67,5.5,7256,0.222
70-79,F,Molina Healthcare,113,2.5,3772,0.13
70-79,F,Molina Healthcare,131,7.1,6522,0.162
70-79,F,Tricare,205,7.3,6589,0.132
70-79,F,Tricare,131,6.1,4961,0.194
70-79,F,Tricare,181,2.3,10049,0.135
70-79,F,Tricare,106,4.3,3969,0.241
70-79,F,Tricare,137,5.1,9139,0.105
70-79,F,Tricare,83,7.3,3812,0.172
70-79,F,Tricare,133,5.2,10452,0.154
70-79,F,Tricare,163,5.0,8594,0.147
70-79,F,UnitedHealthcare,106,4.6,6520,0.102
70-79,F,UnitedHealthcare,254,5.3,8872,0.126
70-79,F,UnitedHealthcare,105,4.2,6787,0.239
70-79,F,UnitedHealthcare,281,3.2,3361,0.208
70-79,F,UnitedHealthcare,113,4.4,10430,0.237
70-79,F,UnitedHealthcare,190,3.1,3832,0.102
70-79,M,Aetna,215,3.5,11093,0.141
70-79,M,Aetna,91,6.4,8518,0.182
70-79,M,Aetna,186,4.7,11435,0.122
70-79,M,Aetna,82,4.6,5709,0.195
70-79,M,Anthem,253,4.4,6217,0.206
70-79,M,Anthem,217,7.0,7966,0.186
70-79,M,Anthem,140,4.9,7341,0.164
70-79,M,Anthem,252,6.0,10282,0.204
70-79,M,Anthem,75,6.7,7936,0.197
70-79,M,Anthem,271,6.3,11339,0.106
70-79,M,Anthem,104,2.4,5873,0.249
70-79,M,Blue Cross Blue Shield,178,7.2,10553,0.205
70-79,M,Blue Cross Blue Shield,193,4.6,7051,0.225
70-79,M,Blue Cross Blue Shield,58,2.5,7598,0.18
70-79,M,Cigna,162,7.5,10223,0.174
70-79,M,Cigna,273,2.5,7559,0.169
70-79,M,Cigna,240,4.1,10366,0.181
70-79,M,Cigna,201,5.4,11086,0.11
70-79,M,Health Net,154,6.5,6280,0.214
70-79,M,Health Net,262,2.9,7258,0.161
70-79,M,Health Net,199,7.2,4894,0.215
70-79,M,Health Net,107,4.7,10401,0.242
70-79,M,Humana,261,7.6,10730,0.195
70-79,M,Humana,205,6.3,8410,0.148
70-79,M,Humana,153,3.9,6459,0.124
70-79,M,Humana,143,3.6,7912,0.159
70-79,M,Humana,168,5.2,11016,0.164
70-79,M,Kaiser Permanente,255,5.5,9352,0.173
70-79,M,Kaiser Permanente,285,2.5,9955,0.126
70-79,M,Kaiser Permanente,116,5.9,3710,0.199
70-79,M,Kaiser Permanente,213,4.7,6525,0.231
70-79,M,Kaiser Permanente,96,3.3,8626,0.146
70-79,M,Medicaid,151,7.1,4412,0.202
70-79,M,Medicaid,70,5.1,7543,0.148
70-79,M,Medicaid,126,7.7,5153,0.132
70-79,M,Medicaid,137,3.4,6596,0.148
70-79,M,Medicaid,203,2.5,6675,0.229
70-79,M,Medicaid,244,5.5,8642,0.137
70-79,M,Medicare,182,2.9,8092,0.223
70-79,M,Medicare,208,6.4,8283,0.106
70-79,M,Medicare,132,3.1,4443,0.161
70-79,M,Medicare,78,3.0,5175,0.185
70-79,M,Molina Healthcare,107,2.7,4710,0.114
70-79,M,Molina Healthcare,217,5.4,8936,0.195
70-79,M,Molina Healthcare,250,2.6,9526,0.119
70-79,M,Tricare,102,4.7,8665,0.232
70-79,M,Tricare,259,2.9,10985,0.113
70-79,M,UnitedHealthcare,240,5.4,4897,0.112
70-79,M,UnitedHealthcare,138,7.0,9218,0.165
70-79,M,UnitedHealthcare,76,4.8,4438,0.126
70-79,M,UnitedHealthcare,164,6.2,7135,0.23
70-79,M,UnitedHealthcare,88,7.2,4242,0.224
70-79,M,UnitedHealthcare,64,3.5,10919,0.117
80+,F,Aetna,207,6.3,9016,0.19
80+,F,Aetna,140,4.7,11718,0.102
80+,F,Aetna,127,3.9,6044,0.134
80+,F,Aetna,60,4.1,4247,0.181
80+,F,Aetna,239,7.4,7319,0.137
80+,F,Anthem,82,6.5,10505,0.212
80+,F,Anthem,202,3.3,8072,0.102
80+,F,Anthem,210,7.2,9706,0.212
80+,F,Anthem,171,3.9,6246,0.238
80+,F,Anthem,91,2.4,11734,0.233
80+,F,Anthem,175,4.9,9257,0.226
80+,F,Blue Cross Blue Shield,111,4.8,11362,0.123
80+,F,Blue Cross Blue Shield,167,5.0,4713,0.167
80+,F,Blue Cross Blue Shield,83,7.1,4954,0.181
80+,F,Blue Cross Blue Shield,275,3.5,10711,0.127
80+,F,Blue Cross Blue Shield,250,7.6,5020,0.11
80+,F,Blue Cross Blue Shield,148,4.9,7690,0.134
80+,F,Blue Cross Blue Shield,70,4.7,9702,0.171
80+,F,Cigna,285,3.1,5017,0.115
80+,F,Cigna,246,7.2,9031,0.201
80+,F,Cigna,261,3.3,8341,0.101
80+,F,Cigna,213,6.6,11082,0.13
80+,F,Cigna,125,2.4,10362,0.208
80+,F,Cigna,122,3.9,10609,0.2
80+,F,Cigna,90,3.5,5473,0.231
80+,F,Cigna,240,6.7,7100,0.239
80+,F,Health Net,198,3.3,8792,0.121
80+,F,Health Net,278,7.0,10674,0.136
80+,F,Health Net,58,5.2,6150,0.234
80+,F,Health Net,160,5.0,6810,0.123
80+,F,Health Net,261,5.8,6416,0.171
80+,F,Health Net,185,5.9,4065,0.145
80+,F,Health Net,275,5.0,7021,0.195
80+,F,Health Net,76,6.7,8803,0.194
80+,F,Humana,87,2.4,10969,0.127
80+,F,Humana,147,3.8,8014,0.154
80+,F,Humana,94,7.8,3801,0.137
80+,F,Humana,188,3.9,4595,0.142
80+,F,Humana,257,2.6,6838,0.239
80+,F,Humana,241,6.8,11520,0.185
80+,F,Humana,257,7.2,3704,0.247
80+,F,Humana,235,5.5,4940,0.131
80+,F,Humana,237,6.4,5237,0.176
80+,F,Humana,168,7.5,4893,0.123
80+,F,Humana,217,6.6,8210,0.157
80+,F,Humana,113,3.0,4378,0.179
80+,F,Kaiser Permanente,281,4.4,3791,0.203
80+,F,Kaiser Permanente,193,6.1,8986,0.152
80+,F,Kaiser Permanente,95,2.8,4582,0.236
80+,F,Kaiser Permanente,284,5.1,11342,0.238
80+,F,Kaiser Permanente,247,3.6,5073,0.18
80+,F,Kaiser Permanente,94,4.7,10927,0.113
80+,F,Kaiser Permanente,90,7.0,7532,0.178
80+,F,Medicaid,197,5.9,10729,0.213
80+,F,Medicaid,57,6.9,9926,0.24
80+,F,Medicaid,86,2.6,6352,0.119
80+,F,Medicare,175,3.4,4796,0.11
80+,F,Medicare,147,7.3,3718,0.173
80+,F,Medicare,143,3.7,10193,0.137
80+,F,Medicare,98,4.0,7816,0.2
80+,F,Medicare,82,4.2,4294,0.129
80+,F,Medicare,250,5.0,8715,0.128
80+,F,Medicare,170,5.2,9746,0.127
80+,F,Molina Healthcare,264,3.2,4314,0.12
80+,F,Molina Healthcare,100,3.9,5577,0.117
80+,F,Molina Healthcare,123,7.5,4219,0.24
80+,F,Molina Healthcare,93,3.2,6293,0.186
80+,F,Molina Healthcare,275,6.2,11186,0.183
80+,F,Molina Healthcare,229,4.6,3550,0.161
80+,F,Molina Healthcare,203,3.4,5086,0.202
80+,F,Molina Healthcare,129,4.8,8030,0.139
80+,F,Molina Healthcare,201,6.5,6668,0.22
80+,F,Tricare,216,7.6,5276,0.11
80+,F,Tricare,211,7.2,9964,0.177
80+,F,Tricare,185,7.7,3253,0.142
80+,F,Tricare,262,2.2,10934,0.123
80+,F,Tricare,79,4.8,10972,0.232
80+,F,Tricare,257,3.9,5838,0.232
80+,F,Tricare,72,4.2,8754,0.128
80+,F,UnitedHealthcare,193,5.3,7792,0.121
80+,F,UnitedHealthcare,214,7.5,9862,0.157
80+,F,UnitedHealthcare,139,4.1,7106,0.225
80+,M,Aetna,247,6.7,9864,0.126
80+,M,Aetna,65,4.4,11531,0.216
80+,M,Aetna,278,7.3,9628,0.102
80+,M,Anthem,241,2.7,5410,0.125
80+,M,Anthem,128,5.9,8229,0.188
80+,M,Anthem,82,4.2,4598,0.175
80+,M,Anthem,267,6.9,9480,0.141
80+,M,Anthem,82,4.4,4734,0.149
80+,M,Anthem,145,3.2,3635,0.22
80+,M,Anthem,174,2.8,7015,0.202
80+,M,Anthem,238,6.4,7737,0.154
80+,M,Blue Cross Blue Shield,163,6.8,7636,0.143
80+,M,Blue Cross Blue Shield,126,6.0,10938,0.244
80+,M,Blue Cross Blue Shield,178,4.8,4033,0.113
80+,M,Blue Cross Blue Shield,90,6.7,10426,0.172
80+,M,Blue Cross Blue Shield,87,3.1,3360,0.144
80+,M,Blue Cross Blue Shield,57,6.1,3403,0.226
80+,M,Blue Cross Blue Shield,244,4.1,9761,0.219
80+,M,Cigna,177,3.2,6444,0.104
80+,M,Cigna,177,6.7,9993,0.222
80+,M,Health Net,117,2.9,4728,0.138
80+,M,Health Net,187,7.6,4011,0.132
80+,M,Health Net,214,4.6,9280,0.143
80+,M,Health Net,205,7.7,7190,0.199
80+,M,Health Net,95,7.4,10801,0.241
80+,M,Health Net,142,4.9,4339,0.235
80+,M,Humana,251,5.5,9294,0.12
80+,M,Humana,96,6.2,7449,0.238
80+,M,Humana,63,4.3,5501,0.138
80+,M,Humana,96,2.6,11702,0.174
80+,M,Humana,208,3.5,5556,0.176
80+,M,Humana,176,7.5,10377,0.242
80+,M,Humana,184,7.3,7423,0.114
80+,M,Kaiser Permanente,109,6.9,10298,0.216
80+,M,Kaiser Permanente,97,6.8,7480,0.234
80+,M,Kaiser Permanente,122,7.7,6170,0.116
80+,M,Kaiser Permanente,174,4.9,5013,0.125
80+,M,Medicaid,196,5.1,6160,0.108
80+,M,Medicaid,140,6.2,9538,0.152
80+,M,Medicare,120,2.6,11615,0.177
80+,M,Medicare,233,4.3,10708,0.165
80+,M,Medicare,160,5.6,5814,0.173
80+,M,Molina Healthcare,268,3.8,7736,0.111
80+,M,Molina Healthcare,273,4.7,6657,0.107
80+,M,Molina Healthcare,158,2.9,8026,0.217
80+,M,Molina Healthcare,217,5.6,8662,0.227
80+,M,Molina Healthcare,154,4.5,6201,0.12
80+,M,Molina Healthcare,72,4.6,9453,0.236
80+,M,Tricare,166,2.8,10267,0.213
80+,M,Tricare,236,5.4,9751,0.161
80+,M,Tricare,179,3.2,10635,0.219
80+,M,Tricare,176,4.3,6694,0.22
80+,M,Tricare,256,6.9,10288,0.244
80+,M,Tricare,146,6.6,9582,0.241
80+,M,Tricare,55,2.6,5760,0.173
80+,M,UnitedHealthcare,73,3.7,5712,0.117
80+,M,UnitedHealthcare,115,6.7,5088,0.144
80+,M,UnitedHealthcare,184,6.5,8599,0.123
